feature,mean,std
SLC7A4,3.5076142857142854,2.9761275436753767
TRH,2.972680952380952,2.939620649677069
PON3,4.899459863945578,3.0006347258811252
FGB,1.9913812925170067,3.101616555068592
ORM2,2.909915476190476,3.1351902834599543
RIMS4,7.336275510204082,2.968740869001279
VTCN1,10.020246088435375,2.7179317624835257
TRIM29,8.359425340136054,2.692489936165767
ROPN1B,3.1674159863945577,2.7101570509884487
S100A9,8.24380612244898,3.025535785878213
IL20,4.186796428571428,2.894382514757757
ANXA8,5.836751190476191,2.767368720731918
SERPINA5,8.397456802721086,2.9914073775462833
MAGEA3,1.5000935374149662,3.094088889862511
LPPR3,5.1961540816326535,2.9189239017595474
NCRNA00052,2.2618880952380946,3.0106988913413364
FAM3B,5.454614285714285,2.8475404094553984
ERBB4,8.389644727891156,2.9555097883555375
WFDC2,8.908516156462586,2.8225234507830135
ZIC1,3.1455100340136055,2.959053157278657
INSM1,3.4213025510204083,2.89702875589368
ABCC13,2.558325170068027,2.9054482600385687
ATP6V0A4,4.836202551020408,2.866450172766265
PKP1,7.474672619047619,2.7829323659398058
HGD,5.583234353741497,2.9160233368904898
C16orf89,5.613191496598639,2.858618500104706
LOC728606,4.243113265306123,2.901689396151037
ROBO2,4.8636654761904765,2.9672897911049065
SLC9A2,4.894053911564626,2.9393702768105405
TMC5,8.612365476190476,2.850146274640733
TRPA1,3.8545955782312924,2.8094043306860224
ALOX15B,6.721578231292517,2.715821282222341
CCL19,6.493327551020409,2.8731566691793287
FOXJ1,4.2777018707483,2.8401326881034707
WDR72,3.249299319727891,2.9032143342476164
DARC,6.961790476190476,2.692947542582585
SYTL5,6.297263435374149,2.841282893658815
ELOVL2,7.598805102040815,2.9088903983093393
HOTAIR,5.326862925170068,2.7478208277850076
AGTR1,6.298676360544218,2.7440236046251525
FOXA1,11.635438095238095,2.6975638720758033
NCCRP1,5.556589285714285,2.8470252873258164
HEPACAM2,3.799228571428571,2.7658758837231026
ACTL8,2.7086028911564624,2.7764890728264757
FREM2,5.0067877551020405,2.9201107899587013
CHST8,5.3662926870748295,2.842959620009822
KNDC1,3.7016977891156455,2.927658361993708
CYP4B1,7.025348809523809,2.887193106506049
GPR98,7.099170578231293,2.7953874046847242
